Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CRITICAL PATH - 07-05-2019,Chrome 74.0.3729.131,,2019-05-07 18:04:47,2019-05-07 18:18:57,14m - 10.141s,PASSED
,,,,,,
Test Cases/CRITICAL PATH/Critical path,Chrome 74.0.3729.131,,2019-05-07 18:04:47,2019-05-07 18:09:22,4m - 34.100s,PASSED
"openBrowser("""")",Chrome 74.0.3729.131,,2019-05-07 18:04:48,2019-05-07 18:04:53,4.849s,PASSED
"navigateToUrl(""https://www.sakara.com/"")",Chrome 74.0.3729.131,,2019-05-07 18:04:53,2019-05-07 18:04:56,3.740s,PASSED
maximizeWindow(),Chrome 74.0.3729.131,,2019-05-07 18:04:56,2019-05-07 18:04:59,2.878s,PASSED
"click(findTestObject(""Object Repository/SAKARA/Page_100 plant-based organic ready-/div_Create an account_privy-di""))",Chrome 74.0.3729.131,,2019-05-07 18:04:59,2019-05-07 18:05:09,9.765s,PASSED
"click(findTestObject(""Object Repository/SAKARA/Page_100 plant-based organic ready-/a_Next Weeks Menu""))",Chrome 74.0.3729.131,,2019-05-07 18:05:09,2019-05-07 18:05:12,3.365s,PASSED
"click(findTestObject(""Object Repository/SAKARA/Page_Next weeks menu  Sakara Life/a_Order Now""))",Chrome 74.0.3729.131,,2019-05-07 18:05:12,2019-05-07 18:05:17,4.513s,PASSED
"setText(findTestObject(""Object Repository/SAKARA/Page_OMD Order  Sakara Life/input""), ""07057"")",Chrome 74.0.3729.131,,2019-05-07 18:05:17,2019-05-07 18:05:21,4.197s,PASSED
"click(findTestObject(""Object Repository/SAKARA/Page_OMD Order  Sakara Life/span_Program Length_o-radio__c""))",Chrome 74.0.3729.131,,2019-05-07 18:05:21,2019-05-07 18:05:23,2.134s,PASSED
"click(findTestObject(""Object Repository/SAKARA/Page_OMD Order  Sakara Life/span_Weekly Subscription_o-rad""))",Chrome 74.0.3729.131,,2019-05-07 18:05:23,2019-05-07 18:05:25,2.115s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SAKARA/Page_OMD Order  Sakara Life/select_Monday May 13thMonday M""), ""Mon May 20 2019 00:00:00 GMT-0400"", true)",Chrome 74.0.3729.131,,2019-05-07 18:05:25,2019-05-07 18:05:42,16.297s,PASSED
